STATION,LINE,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
Telarah,Hunter,2014,3/06/2009,No,20,0,90,30,70,70,50,80,10,40,240,240,221,2013
Thornton,Hunter,2014,3/06/2009,No,0,0,120,50,50,60,50,120,20,10,240,240,221,2007
Woonona,South Coast,2014,20/08/2014,Yes,10,0,130,30,50,50,40,110,10,40,240,240,221,1511
Lisarow,Central Coast,2014,15/10/2014,Yes,30,0,120,50,40,40,30,90,10,50,230,230,225,1811
Faulconbridge,Blue Mountains,2014,12/09/2012,No,20,0,130,10,50,40,10,130,0,40,210,210,226,1707
Point Clare,Central Coast,2014,16/10/2014,Yes,30,10,140,10,30,20,10,120,0,50,210,210,226,1807
Tahmoor,Southern Highlands,2014,18/06/2014,Yes,30,10,100,10,40,40,30,90,10,60,210,210,226,1605
Dundas,Carlingford,2014,8/11/2012,No,0,0,150,10,40,10,10,150,0,40,200,200,229,1004
Woodford,Blue Mountains,2014,12/09/2012,No,20,0,120,0,60,60,0,110,0,30,200,200,229,1709
Metford,Hunter,2014,3/06/2009,No,10,0,100,20,40,80,30,80,10,20,190,190,231,2008
Mittagong,Southern Highlands,2014,17/06/2014,Yes,10,0,90,20,50,60,30,80,10,30,190,190,231,1608
Warrimoo,Blue Mountains,2014,5/11/2013,No,10,0,140,10,30,30,10,100,0,40,190,190,231,1704
Port Kembla,South Coast,2014,4/08/2010,No,10,0,60,50,50,50,40,40,20,20,180,180,234,1522
Tascott,Central Coast,2014,19/11/2013,No,0,0,150,10,20,10,0,90,0,60,170,170,235,1806
Austinmer,South Coast,2014,21/08/2013,No,0,0,130,0,20,30,10,80,0,50,160,160,236,1508
Lapstone,Blue Mountains,2014,12/09/2012,No,10,0,130,0,20,20,0,110,0,40,160,160,236,1701
Stanwell Park,South Coast,2014,21/08/2013,No,0,0,130,0,20,30,10,80,0,50,160,160,236,1503
Adamstown,Newcastle,2014,22/08/2013,No,10,0,60,40,30,20,40,70,10,30,150,150,239,1912
Niagara Park,Central Coast,2014,15/11/2012,No,20,0,70,20,30,30,20,70,0,30,140,140,240,1810
Bullaburra,Blue Mountains,2014,21/11/2013,No,10,0,60,10,40,20,20,80,0,20,130,130,241,1712
Bargo,Southern Highlands,2014,18/06/2014,Yes,20,0,50,0,30,20,20,60,0,30,120,120,242,1606
Berry,South Coast,2014,27/08/2013,No,20,0,50,10,20,20,20,60,10,10,120,120,242,1533
East Maitland,Hunter,2014,3/06/2009,No,0,0,20,50,50,40,40,30,10,10,120,120,242,2010
Towradgi,South Coast,2014,9/10/2014,Yes,0,0,80,10,20,10,20,90,0,20,120,120,242,1514
Vineyard,Western,2014,21/11/2012,No,0,0,30,50,30,30,50,40,10,10,120,120,242,916
Koolewong,Central Coast,2014,31/10/2012,No,10,0,80,0,20,10,0,80,0,20,110,110,247,1805
Rosehill,Carlingford,2014,25/11/2014,Yes,0,0,60,20,20,20,20,40,10,30,110,110,247,1001
Booragul,Newcastle,2014,28/10/2014,Yes,0,0,20,70,10,10,70,10,0,10,100,100,249,1907
Clarendon,Western,2014,21/11/2012,No,0,0,40,10,40,20,20,70,0,10,100,100,249,919
Goulburn,Southern Highlands,2014,17/06/2014,Yes,10,0,30,10,50,40,0,0,10,50,100,100,249,1618
Valley Heights,Blue Mountains,2014,5/11/2013,No,10,0,70,10,10,20,10,50,0,20,100,100,249,1705
Bathurst,Blue Mountains,2014,30-31/10/12,No,90,0,0,0,0,0,0,0,0,90,90,90,253,1728
High Street,Hunter,2014,39967,No,0,0,30,20,20,30,20,30,20,10,90,90,253,2011
Mount Victoria,Blue Mountains,2014,20/09/2012,No,10,0,50,0,30,20,0,50,0,20,90,90,253,1718
Cowan,Central Coast,2014,15/10/2014,Yes,0,0,40,0,30,20,10,50,0,10,80,80,256,1801
Camellia,Carlingford,2014,5/11/2013,No,0,0,0,50,10,10,40,10,20,0,70,70,257,1002
Dora Creek,Newcastle,2014,11/12/2012,No,0,0,40,10,20,20,10,40,0,10,70,70,257,1904
Minnamurra,South Coast,2014,18/08/2014,Yes,10,0,40,10,20,30,0,30,0,10,70,70,257,1529
Otford,South Coast,2014,8/08/2012,No,10,0,40,0,20,20,0,40,0,10,70,70,257,1502
Gerringong,South Coast,2014,27/08/2013,No,0,0,30,10,20,20,10,20,0,10,60,60,261,1532
